TIMESTAMP,LOAD
192005 16:00,104.4
192005 17:00,111.9
192005 18:00,129.6
192005 19:00,140
192005 20:00,143.1
192005 21:00,144
192005 22:00,137.8
192005 23:00,128.2
1102005 0:00,119.3
1102005 1:00,113.4
1102005 2:00,112.8
1102005 3:00,114.2
1102005 4:00,117.8
1102005 5:00,124
1102005 6:00,137.5
1102005 7:00,163.6
1102005 8:00,162.4
1102005 9:00,147.1
1102005 10:00,135.9
1102005 11:00,127
1102005 12:00,119.3
1102005 13:00,106.9
1102005 14:00,98.1
1102005 15:00,91.9
1102005 16:00,91.3
1102005 17:00,97.7
1102005 18:00,120.2
1102005 19:00,138.7
1102005 20:00,141.7
1102005 21:00,142.7
1102005 22:00,137.9
1102005 23:00,126.8
1112005 0:00,115.3
1112005 1:00,106.7
1112005 2:00,104.4
1112005 3:00,106.2
1112005 4:00,109.8
1112005 5:00,118
1112005 6:00,134.8
1112005 7:00,162.5
1112005 8:00,162.5
1112005 9:00,147.3
1112005 10:00,131.2
1112005 11:00,116.8
1112005 12:00,107
1112005 13:00,100.1
1112005 14:00,96.4
1112005 15:00,92.4
1112005 16:00,92.8
1112005 17:00,101.9
1112005 18:00,124
1112005 19:00,139.9
1112005 20:00,141.2
1112005 21:00,139.6
1112005 22:00,134.2
1112005 23:00,123
1122005 0:00,111.3
1122005 1:00,102.9
1122005 2:00,100.7
1122005 3:00,100.2
1122005 4:00,102.1
1122005 5:00,108
1122005 6:00,120.9
1122005 7:00,145.6
1122005 8:00,144.2
1122005 9:00,127.3
1122005 10:00,111.5
1122005 11:00,99.1
1122005 12:00,92.8
1122005 13:00,88.4
1122005 14:00,86
1122005 15:00,83.8
1122005 16:00,84
1122005 17:00,90.2
1122005 18:00,106.5
1122005 19:00,118.6
1122005 20:00,116.6
1122005 21:00,112
1122005 22:00,106.3
1122005 23:00,93.7
1132005 0:00,81
1132005 1:00,72.9
1132005 2:00,69.2
1132005 3:00,68
1132005 4:00,68.3
1132005 5:00,71.7
1132005 6:00,82.4
1132005 7:00,105.4
1132005 8:00,106.8
1132005 9:00,96.8
1132005 10:00,91.2
1132005 11:00,88.1
1132005 12:00,86.8
1132005 13:00,85.8
1132005 14:00,86.1
1132005 15:00,84.6
1132005 16:00,85.5
1132005 17:00,90.2
1132005 18:00,104.4
1132005 19:00,116.9
1132005 20:00,115
1132005 21:00,111.9
1132005 22:00,104.6
1132005 23:00,93
1142005 0:00,81
1142005 1:00,71.9
1142005 2:00,67.8
1142005 3:00,65.8
1142005 4:00,64.8
1142005 5:00,66.7
1142005 6:00,74.9
1142005 7:00,94.8
1142005 8:00,99.3
1142005 9:00,92.8
1142005 10:00,91.8
1142005 11:00,93.5
1142005 12:00,95.2
1142005 13:00,98.4
1142005 14:00,103.5
1142005 15:00,108.2
1142005 16:00,116.5
1142005 17:00,128.5
1142005 18:00,146.9
1142005 19:00,154.2
1142005 20:00,152.8
1142005 21:00,151.3
1142005 22:00,148.8
1142005 23:00,142.8
1152005 0:00,136.9
1152005 1:00,130.9
1152005 2:00,128.8
1152005 3:00,130.9
1152005 4:00,135.3
1152005 5:00,141.4
1152005 6:00,149.1
1152005 7:00,159
1152005 8:00,171.6
1152005 9:00,182.2
1152005 10:00,184.2
1152005 11:00,177.8
1152005 12:00,169.5
1152005 13:00,161.2
1152005 14:00,152.8
1152005 15:00,149.1
1152005 16:00,151.7
1152005 17:00,161.9
1152005 18:00,177.8
1152005 19:00,187.9
1152005 20:00,185.8
1152005 21:00,184
1152005 22:00,177.8
1152005 23:00,171.2
1162005 0:00,162.1
1162005 1:00,154.7
1162005 2:00,150.8
1162005 3:00,148.7
1162005 4:00,149
1162005 5:00,150.4
1162005 6:00,153.8
1162005 7:00,159.9
1162005 8:00,173.1
1162005 9:00,190
1162005 10:00,195.8
1162005 11:00,188.8
1162005 12:00,180.1
1162005 13:00,178.6
1162005 14:00,176.8
1162005 15:00,174.5
1162005 16:00,170.7
1162005 17:00,170.2
1162005 18:00,178.3
1162005 19:00,182.8
1162005 20:00,180.1
1162005 21:00,175.7
1162005 22:00,168.2
1162005 23:00,159.4
1172005 0:00,149.7
1172005 1:00,144.4
1172005 2:00,144.3
1172005 3:00,146
1172005 4:00,149.4
1172005 5:00,157.7
1172005 6:00,170.9
1172005 7:00,187.9
1172005 8:00,201.6
1172005 9:00,205.7
1172005 10:00,202.6
1172005 11:00,196.5
1172005 12:00,187.9
1172005 13:00,177.5
1172005 14:00,168.2
1172005 15:00,163
1172005 16:00,163.5
1172005 17:00,176.1
1172005 18:00,208.8
1172005 19:00,231.7
1172005 20:00,236.2
1172005 21:00,235.6
1172005 22:00,230.8
1172005 23:00,219.6
1182005 0:00,211.3
1182005 1:00,209.2
1182005 2:00,212.4
1182005 3:00,219
1182005 4:00,226.3
1182005 5:00,236.4
1182005 6:00,252.2
1182005 7:00,274
1182005 8:00,267.7
1182005 9:00,252.7
1182005 10:00,245.9
1182005 11:00,227.9
1182005 12:00,214.5
1182005 13:00,202.6
1182005 14:00,189.7
1182005 15:00,182.3
1182005 16:00,183.5
1182005 17:00,199
1182005 18:00,229.2
1182005 19:00,251
1182005 20:00,254.2
1182005 21:00,253.7
1182005 22:00,248.3
1182005 23:00,238.4
1192005 0:00,228
1192005 1:00,226.8
1192005 2:00,226.9
1192005 3:00,228.6
1192005 4:00,229.2
1192005 5:00,235.2
1192005 6:00,249.8
1192005 7:00,265.1
1192005 8:00,259
1192005 9:00,243.7
1192005 10:00,224.9
1192005 11:00,215.4
1192005 12:00,209.5
1192005 13:00,205
1192005 14:00,202.6
1192005 15:00,203.7
1192005 16:00,211.8
1192005 17:00,223.4
1192005 18:00,237.1
1192005 19:00,241.7
1192005 20:00,235.7
1192005 21:00,225
1192005 22:00,216.2
1192005 23:00,196.9
1202005 0:00,186.3
1202005 1:00,183.1
1202005 2:00,185.8
1202005 3:00,190.9
1202005 4:00,191.5
1202005 5:00,193.5
1202005 6:00,199.3
1202005 7:00,211.7
1202005 8:00,216.1
1202005 9:00,209.3
1202005 10:00,196.2
1202005 11:00,181.3
1202005 12:00,169.4
1202005 13:00,154.1
1202005 14:00,141.2
1202005 15:00,133.5
1202005 16:00,134.8
1202005 17:00,146.9
1202005 18:00,169
1202005 19:00,184.6
1202005 20:00,186.1
1202005 21:00,184.2
1202005 22:00,178.4
1202005 23:00,169
1212005 0:00,157.9
1212005 1:00,151.3
1212005 2:00,149.6
1212005 3:00,149.7
1212005 4:00,151.4
1212005 5:00,156.4
1212005 6:00,167.3
1212005 7:00,185.4
1212005 8:00,196.5
1212005 9:00,198.6
1212005 10:00,194.2
1212005 11:00,187.4
1212005 12:00,182.9
1212005 13:00,176.9
1212005 14:00,169.9
1212005 15:00,164.2
1212005 16:00,165.7
1212005 17:00,175.3
1212005 18:00,198
1212005 19:00,216.1
1212005 20:00,218.5
1212005 21:00,217.9
1212005 22:00,215.4
1212005 23:00,210.1
1222005 0:00,203.4
1222005 1:00,198
1222005 2:00,196.2
1222005 3:00,195.5
1222005 4:00,194
1222005 5:00,192.5
1222005 6:00,193.3
1222005 7:00,198.2
1222005 8:00,204.3
1222005 9:00,213.1
1222005 10:00,217.4
1222005 11:00,216
1222005 12:00,210.6
1222005 13:00,202.1
1222005 14:00,193.4
1222005 15:00,188.4
1222005 16:00,185.1
1222005 17:00,183.5
1222005 18:00,189.7
1222005 19:00,194.6
1222005 20:00,193
1222005 21:00,188.5
1222005 22:00,182.8
1222005 23:00,176.5
1232005 0:00,168.4
1232005 1:00,161.4
1232005 2:00,161
1232005 3:00,165.6
1232005 4:00,173.2
1232005 5:00,183.5
1232005 6:00,198.1
1232005 7:00,215.8
1232005 8:00,238.7
1232005 9:00,257.8
1232005 10:00,265.5
1232005 11:00,261.1
1232005 12:00,255.6
1232005 13:00,250.4
1232005 14:00,245.7
1232005 15:00,241
1232005 16:00,237.4
1232005 17:00,238.4
1232005 18:00,251.4
1232005 19:00,262.9
1232005 20:00,263.1
1232005 21:00,263.9
1232005 22:00,260.4
1232005 23:00,250.5
1242005 0:00,238.6
1242005 1:00,233.8
1242005 2:00,234.4
1242005 3:00,236
1242005 4:00,239.3
1242005 5:00,245.4
1242005 6:00,259
1242005 7:00,279.1
1242005 8:00,275.2
1242005 9:00,247.9
1242005 10:00,234.8
1242005 11:00,210.5
1242005 12:00,191.7
1242005 13:00,176.3
1242005 14:00,165
1242005 15:00,156.3
1242005 16:00,157.5
1242005 17:00,178
1242005 18:00,204
1242005 19:00,218.4
1242005 20:00,218.3
1242005 21:00,213.8
1242005 22:00,204.6
1242005 23:00,190.2
1252005 0:00,177.7
1252005 1:00,171.1
1252005 2:00,170.7
1252005 3:00,171.4
1252005 4:00,174.6
1252005 5:00,181.8
1252005 6:00,196.2
1252005 7:00,224.5
1252005 8:00,223.5
1252005 9:00,195.9
1252005 10:00,173
1252005 11:00,154.5
1252005 12:00,140
1252005 13:00,129.5
1252005 14:00,119.8
1252005 15:00,113.9
1252005 16:00,114.9
1252005 17:00,124.6
1252005 18:00,151.5
1252005 19:00,180.7
1252005 20:00,188.1
1252005 21:00,190.5
1252005 22:00,187.3
1252005 23:00,175.7
1262005 0:00,162.8
1262005 1:00,155.8
1262005 2:00,154.6
1262005 3:00,154.4
1262005 4:00,155.5
1262005 5:00,159.9
1262005 6:00,170.7
1262005 7:00,193.4
1262005 8:00,189.1
1262005 9:00,168.9
1262005 10:00,155
1262005 11:00,142.4
1262005 12:00,130.7
1262005 13:00,118.6
1262005 14:00,110.3
1262005 15:00,105.2
1262005 16:00,106.4
1262005 17:00,114.6
1262005 18:00,131.1
1262005 19:00,151.9
1262005 20:00,155.8
1262005 21:00,155.6
1262005 22:00,151.8
1262005 23:00,140.1
1272005 0:00,129.1
1272005 1:00,122.6
1272005 2:00,122.7
1272005 3:00,124.9
1272005 4:00,130.1
1272005 5:00,140.3
1272005 6:00,158.9
1272005 7:00,190
1272005 8:00,196.1
1272005 9:00,189
1272005 10:00,183.9
1272005 11:00,174.8
1272005 12:00,169.5
1272005 13:00,164.2
1272005 14:00,160.4
1272005 15:00,157.9
1272005 16:00,162.4
1272005 17:00,179.5
1272005 18:00,210.3
1272005 19:00,236.4
1272005 20:00,242.1
1272005 21:00,243.6
1272005 22:00,238.4
1272005 23:00,228.1
1282005 0:00,218
1282005 1:00,215.8
1282005 2:00,215
1282005 3:00,217
1282005 4:00,221.3
1282005 5:00,228.4
1282005 6:00,243.5
1282005 7:00,269.7
1282005 8:00,268.5
1282005 9:00,248.1
1282005 10:00,232.1
1282005 11:00,215
1282005 12:00,199.6
1282005 13:00,186.5
1282005 14:00,176.7
1282005 15:00,170.7
1282005 16:00,173.1
1282005 17:00,186.9
1282005 18:00,214.5
1282005 19:00,235.9
1282005 20:00,238.6
1282005 21:00,237.3
1282005 22:00,232.6
1282005 23:00,224.5
1292005 0:00,215.6
1292005 1:00,209.4
1292005 2:00,206.2
1292005 3:00,203.9
1292005 4:00,204.3
1292005 5:00,207.7
1292005 6:00,214.6
1292005 7:00,225.4
1292005 8:00,233.6
1292005 9:00,230.3
1292005 10:00,214.5
1292005 11:00,195.3
1292005 12:00,175.8
1292005 13:00,160.5
1292005 14:00,149.9
1292005 15:00,145.1
1292005 16:00,147.3
1292005 17:00,156.8
1292005 18:00,171.8
1292005 19:00,184.1
1292005 20:00,184.4
1292005 21:00,182.4
1292005 22:00,177.1
1292005 23:00,168.8
1302005 0:00,158.7
1302005 1:00,149.4
1302005 2:00,144.9
1302005 3:00,142.5
1302005 4:00,141.3
1302005 5:00,142.4
1302005 6:00,145.5
1302005 7:00,152.7
1302005 8:00,164.4
1302005 9:00,180.3
1302005 10:00,187.8
1302005 11:00,181.9
1302005 12:00,174.5
1302005 13:00,172.6
1302005 14:00,169.4
1302005 15:00,167.7
1302005 16:00,169.6
1302005 17:00,175.3
1302005 18:00,187
1302005 19:00,196.8
1302005 20:00,199.8
1302005 21:00,199.3
1302005 22:00,194.3
1302005 23:00,185.3
1312005 0:00,173.6
1312005 1:00,166.7
1312005 2:00,164.7
1312005 3:00,165
1312005 4:00,166.5
1312005 5:00,172.8
1312005 6:00,187.5
1312005 7:00,214.7
1312005 8:00,214
1312005 9:00,196
1312005 10:00,182.7
1312005 11:00,169
1312005 12:00,156.1
1312005 13:00,144.7
1312005 14:00,135.9
1312005 15:00,129.9
1312005 16:00,131.7
1312005 17:00,145.7
1312005 18:00,172.1
1312005 19:00,196.4
1312005 20:00,199.9
1312005 21:00,199
1312005 22:00,191.8
1312005 23:00,178.7
212005 0:00,166.8
212005 1:00,160
212005 2:00,159.1
212005 3:00,160.2
212005 4:00,162.3
212005 5:00,168.5
212005 6:00,180.5
212005 7:00,201.1
212005 8:00,199.5
212005 9:00,190.3
212005 10:00,176.5
212005 11:00,164
212005 12:00,153.3
212005 13:00,142.8
212005 14:00,137.6
212005 15:00,134.5
212005 16:00,137.7
212005 17:00,148.3
212005 18:00,168.5
212005 19:00,189.1
212005 20:00,192.2
212005 21:00,192.8
212005 22:00,191.2
212005 23:00,180.1
222005 0:00,169.1
222005 1:00,165.6
222005 2:00,166.5
222005 3:00,169.3
222005 4:00,172.4
222005 5:00,179.8
222005 6:00,193.3
222005 7:00,216.3
222005 8:00,212.8
222005 9:00,192.5
222005 10:00,168.6
222005 11:00,151.1
222005 12:00,137.9
222005 13:00,125.7
222005 14:00,119
222005 15:00,112.9
222005 16:00,115.4
222005 17:00,130.7
222005 18:00,154.9
222005 19:00,180.5
222005 20:00,185.1
222005 21:00,184.9
222005 22:00,182.4
222005 23:00,170.4
232005 0:00,157.2
232005 1:00,151.9
232005 2:00,151.5
232005 3:00,151.4
232005 4:00,151.6
232005 5:00,156.4
232005 6:00,169.2
232005 7:00,194.3
232005 8:00,194.2
232005 9:00,178.8
232005 10:00,171.4
232005 11:00,167.4
232005 12:00,163.6
232005 13:00,159.7
232005 14:00,159.4
232005 15:00,161.5
232005 16:00,166.7
232005 17:00,177.8
232005 18:00,193.6
232005 19:00,207.4
232005 20:00,206.6
232005 21:00,202.6
232005 22:00,191
232005 23:00,175.8
242005 0:00,162.6
242005 1:00,156
242005 2:00,154.6
242005 3:00,155.9
242005 4:00,158.2
242005 5:00,164.4
242005 6:00,177.9
242005 7:00,204
242005 8:00,205.1
242005 9:00,192.2
242005 10:00,180.3
242005 11:00,168.3
242005 12:00,160.3
242005 13:00,153.9
242005 14:00,147.8
242005 15:00,145.5
242005 16:00,150.5
242005 17:00,158.7
242005 18:00,171.3
242005 19:00,184.5
242005 20:00,183.5
242005 21:00,180.6
242005 22:00,175.8
242005 23:00,168
252005 0:00,157.9
252005 1:00,150.8
252005 2:00,148.4
252005 3:00,148.7
252005 4:00,149.6
252005 5:00,152.6
252005 6:00,158.9
252005 7:00,168.4
252005 8:00,177.7
252005 9:00,180.3
252005 10:00,172.3
252005 11:00,160.4
252005 12:00,147.2
252005 13:00,134.9
252005 14:00,124.4
252005 15:00,117.6
252005 16:00,115.4
252005 17:00,118.7
252005 18:00,132.1
252005 19:00,153.4
252005 20:00,159.5
252005 21:00,162.5
252005 22:00,164.3
252005 23:00,161
262005 0:00,154.4
262005 1:00,148
262005 2:00,145.9
262005 3:00,146.4
262005 4:00,148.7
262005 5:00,152.9
262005 6:00,158.3
262005 7:00,167.8
262005 8:00,179
262005 9:00,181.3
262005 10:00,166.9
262005 11:00,144.8
262005 12:00,125.8
262005 13:00,116.9
262005 14:00,110.4
262005 15:00,106.3
262005 16:00,104.7
262005 17:00,106.7
262005 18:00,121
262005 19:00,140.9
262005 20:00,145.7
262005 21:00,151.2
262005 22:00,150.4
262005 23:00,146.3
272005 0:00,137.7
272005 1:00,130.5
272005 2:00,128.7
272005 3:00,129.5
272005 4:00,132.2
272005 5:00,138.6
272005 6:00,152.4
272005 7:00,178.3
272005 8:00,178
272005 9:00,162.4
272005 10:00,148.9
272005 11:00,135.8
272005 12:00,123.5
272005 13:00,111.4
272005 14:00,103.9
272005 15:00,98.2
272005 16:00,96
272005 17:00,102.3
272005 18:00,118.4
272005 19:00,146.8
272005 20:00,157.4
272005 21:00,161.4
272005 22:00,159.7
272005 23:00,149.5
282005 0:00,138.6
282005 1:00,132.6
282005 2:00,131.1
282005 3:00,130.8
282005 4:00,133
282005 5:00,138.7
282005 6:00,152.7
282005 7:00,177.5
282005 8:00,178.1
282005 9:00,161.4
282005 10:00,143
282005 11:00,122
282005 12:00,108.4
282005 13:00,99.6
282005 14:00,94.7
282005 15:00,90.6
282005 16:00,89.1
282005 17:00,92.4
282005 18:00,103.9
282005 19:00,127.3
282005 20:00,132.6
282005 21:00,132.3
282005 22:00,130.1
282005 23:00,120.7
292005 0:00,109.7
292005 1:00,101.8
292005 2:00,98.9
292005 3:00,97.7
292005 4:00,97.5
292005 5:00,101.6
292005 6:00,113.7
292005 7:00,138.3
292005 8:00,138.1
292005 9:00,125.1
292005 10:00,117.4
292005 11:00,109.2
292005 12:00,103.3
292005 13:00,97.9
292005 14:00,94.8
292005 15:00,93.3
292005 16:00,95.7
292005 17:00,104.2
292005 18:00,117.5
292005 19:00,131.3
292005 20:00,129.8
292005 21:00,127.3
292005 22:00,121.1
292005 23:00,109
2102005 0:00,95.8
2102005 1:00,87
2102005 2:00,83.3
2102005 3:00,82.5
2102005 4:00,83.3
2102005 5:00,87.9
2102005 6:00,100.7
2102005 7:00,126.5
2102005 8:00,130
2102005 9:00,119.4
2102005 10:00,112.8
2102005 11:00,106.5
2102005 12:00,102.6
2102005 13:00,100.2
2102005 14:00,100.1
2102005 15:00,103.2
2102005 16:00,111.1
2102005 17:00,125.5
2102005 18:00,146.5
2102005 19:00,170
2102005 20:00,176.2
2102005 21:00,178.4
2102005 22:00,174.3
2102005 23:00,165.6
2112005 0:00,157.2
2112005 1:00,152.9
2112005 2:00,154.2
2112005 3:00,157.9
2112005 4:00,161.8
2112005 5:00,169.6
2112005 6:00,184.5
2112005 7:00,212.2
2112005 8:00,210.8
2112005 9:00,188.6
2112005 10:00,174.5
2112005 11:00,160.3
2112005 12:00,146.9
2112005 13:00,135.2
2112005 14:00,126.1
2112005 15:00,120.9
2112005 16:00,120.2
2112005 17:00,127.8
2112005 18:00,144.9
2112005 19:00,172.7
2112005 20:00,179.1
2112005 21:00,181.7
2112005 22:00,180.9
2112005 23:00,175.8
2122005 0:00,169.1
2122005 1:00,162.6
2122005 2:00,160.9
2122005 3:00,161.8
2122005 4:00,164.3
2122005 5:00,168.8
2122005 6:00,175.4
2122005 7:00,184.9
2122005 8:00,191.9
2122005 9:00,187.9
2122005 10:00,172.3
2122005 11:00,155.3
2122005 12:00,141.6
2122005 13:00,128.8
2122005 14:00,118.1
2122005 15:00,109.8
2122005 16:00,106.1
2122005 17:00,107.3
2122005 18:00,118.3
2122005 19:00,140.4
2122005 20:00,145.5
2122005 21:00,148.8
2122005 22:00,148.4
2122005 23:00,144.6
2132005 0:00,137.6
2132005 1:00,130.8
2132005 2:00,129.2
2132005 3:00,131.3
2132005 4:00,134.7
2132005 5:00,139.7
2132005 6:00,147.4
2132005 7:00,158.2
2132005 8:00,170.5
2132005 9:00,169.6
2132005 10:00,152.4
2132005 11:00,129.4
2132005 12:00,112.9
2132005 13:00,105.1
2132005 14:00,100.7
2132005 15:00,98
2132005 16:00,96.4
2132005 17:00,100.8
2132005 18:00,112.6
2132005 19:00,130.9
2132005 20:00,137.4
2132005 21:00,138.5
2132005 22:00,134.4
2132005 23:00,125.9
2142005 0:00,116.3
2142005 1:00,108.9
2142005 2:00,106.4
2142005 3:00,106.6
2142005 4:00,107.6
2142005 5:00,113.6
2142005 6:00,126.1
2142005 7:00,150.5
2142005 8:00,149.2
2142005 9:00,137.5
2142005 10:00,129.9
2142005 11:00,123.2
2142005 12:00,117.3
2142005 13:00,113.2
2142005 14:00,110.6
2142005 15:00,108.5
2142005 16:00,110.7
2142005 17:00,117.2
2142005 18:00,126.8
2142005 19:00,137
2142005 20:00,134.1
2142005 21:00,128.6
2142005 22:00,121.1
2142005 23:00,108.4
2152005 0:00,96.4
2152005 1:00,88.3
2152005 2:00,86.1
2152005 3:00,86.4
2152005 4:00,89.2
2152005 5:00,95.9
2152005 6:00,110
2152005 7:00,136.7
2152005 8:00,139.6
2152005 9:00,121.4
2152005 10:00,108.2
2152005 11:00,98.8
2152005 12:00,92.8
2152005 13:00,89.2
2152005 14:00,86.9
2152005 15:00,85.1
2152005 16:00,84.8
2152005 17:00,89.1
2152005 18:00,98.6
2152005 19:00,120.1
2152005 20:00,124.3
2152005 21:00,123.5
2152005 22:00,120.3
2152005 23:00,109.7
2162005 0:00,98.9
2162005 1:00,92.2
2162005 2:00,90.6
2162005 3:00,91.5
2162005 4:00,92.7
2162005 5:00,98.8
2162005 6:00,111.9
2162005 7:00,137.3
2162005 8:00,136.7
2162005 9:00,120.7
2162005 10:00,110.2
2162005 11:00,103.4
2162005 12:00,98.2
2162005 13:00,92.8
2162005 14:00,87.9
2162005 15:00,85.3
2162005 16:00,85.1
2162005 17:00,90.1
2162005 18:00,99.3
2162005 19:00,118.5
2162005 20:00,120.2
2162005 21:00,117.3
2162005 22:00,114
2162005 23:00,106.8
2172005 0:00,97.4
2172005 1:00,92.6
2172005 2:00,92.8
2172005 3:00,95.3
2172005 4:00,99
2172005 5:00,106.6
2172005 6:00,123.3
2172005 7:00,153.2
2172005 8:00,155.5
2172005 9:00,136.7
2172005 10:00,122.4
2172005 11:00,112.8
2172005 12:00,106.4
2172005 13:00,102.9
2172005 14:00,102.5
2172005 15:00,102.5
2172005 16:00,101.5
2172005 17:00,107.6
2172005 18:00,124.9
2172005 19:00,155
2172005 20:00,163.4
2172005 21:00,165.6
2172005 22:00,162.7
2172005 23:00,154.2
2182005 0:00,145.2
2182005 1:00,142
2182005 2:00,144.1
2182005 3:00,148.4
2182005 4:00,153.1
2182005 5:00,161.4
2182005 6:00,175.8
2182005 7:00,200.3
2182005 8:00,196.2
2182005 9:00,172.9
2182005 10:00,158.2
2182005 11:00,145.9
2182005 12:00,139
2182005 13:00,131.1
2182005 14:00,124.8
2182005 15:00,120.9
2182005 16:00,120.6
2182005 17:00,127.2
2182005 18:00,144.9
2182005 19:00,173.8
2182005 20:00,181.9
2182005 21:00,185.2
2182005 22:00,186
2182005 23:00,182.4
2192005 0:00,176.2
2192005 1:00,171.7
2192005 2:00,170.7
2192005 3:00,172
2192005 4:00,174.8
2192005 5:00,178.7
2192005 6:00,184.9
2192005 7:00,194.1
2192005 8:00,202.2
2192005 9:00,193.9
2192005 10:00,176.7
2192005 11:00,157.5
2192005 12:00,141.1
2192005 13:00,128.1
2192005 14:00,118
2192005 15:00,110.5
2192005 16:00,108
2192005 17:00,111.7
2192005 18:00,126.3
2192005 19:00,154
2192005 20:00,165.3
2192005 21:00,169.3
2192005 22:00,169.5
2192005 23:00,165.4
2202005 0:00,157.4
2202005 1:00,150.5
2202005 2:00,147.8
2202005 3:00,148.2
2202005 4:00,149
2202005 5:00,149.3
2202005 6:00,151.6
2202005 7:00,156.3
2202005 8:00,167.9
2202005 9:00,180.4
2202005 10:00,174.6
2202005 11:00,156.8
2202005 12:00,141.6
2202005 13:00,137.2
2202005 14:00,134.3
2202005 15:00,132.2
2202005 16:00,131.7
2202005 17:00,135.6
2202005 18:00,141.5
2202005 19:00,154.9
